Rahul Sud


IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
1, ORB, FREAK, 500, 0.0036483, 0.0166245, 42, 6.4189e-05
2, ORB, FREAK, 500, 0.00361052, 0.0166319, 36, 6.8117e-05
3, ORB, FREAK, 500, 0.00359862, 0.016699, 45, 7.5949e-05
4, ORB, FREAK, 500, 0.00360777, 0.0166767, 47, 6.5837e-05
5, ORB, FREAK, 500, 0.00364469, 0.0167484, 44, 7.4147e-05
6, ORB, FREAK, 500, 0.00363922, 0.0166969, 51, 6.4708e-05
7, ORB, FREAK, 500, 0.003631, 0.0168003, 52, 7.38e-05
8, ORB, FREAK, 500, 0.00368966, 0.0167348, 49, 7.8204e-05
9, ORB, FREAK, 500, 0.00368526, 0.0167277, 55, 8.8849e-05

0, AKAZE, BRISK, 1351, 0.0286569, 0.00116348, 513595792, 6.95296e-310
1, AKAZE, BRISK, 1327, 0.0272953, 0.00121407, 137, 0.00472425
2, AKAZE, BRISK, 1311, 0.0296528, 0.00113154, 125, 0.000135746
3, AKAZE, BRISK, 1351, 0.025637, 0.00109509, 129, 0.000136277
4, AKAZE, BRISK, 1360, 0.0291401, 0.00115244, 129, 0.00014856
5, AKAZE, BRISK, 1347, 0.0282218, 0.00116056, 131, 0.000140454
6, AKAZE, BRISK, 1363, 0.0284067, 0.00130471, 132, 0.000145534
7, AKAZE, BRISK, 1331, 0.0285785, 0.0012386, 142, 0.000139086
8, AKAZE, BRISK, 1358, 0.0295679, 0.00123335, 146, 0.000151777
9, AKAZE, BRISK, 1331, 0.0306689, 0.00123939, 144, 0.000153233

0, AKAZE, BRIEF, 1351, 0.0287681, 0.000728914, 513595792, 6.95296e-310
1, AKAZE, BRIEF, 1327, 0.029132, 0.000444488, 141, 8.2429e-05
2, AKAZE, BRIEF, 1311, 0.0293184, 0.000440775, 134, 0.000107994
3, AKAZE, BRIEF, 1351, 0.0284406, 0.00042553, 131, 0.000130704
4, AKAZE, BRIEF, 1360, 0.0282968, 0.000436237, 130, 0.000120977
5, AKAZE, BRIEF, 1347, 0.0268263, 0.000433593, 134, 0.00013045
6, AKAZE, BRIEF, 1363, 0.0272177, 0.000438787, 146, 0.000114028
7, AKAZE, BRIEF, 1331, 0.0272336, 0.000462897, 150, 0.000116791
8, AKAZE, BRIEF, 1358, 0.0292665, 0.000463404, 148, 0.000136701
9, AKAZE, BRIEF, 1331, 0.0286101, 0.000467844, 152, 0.000129995

0, AKAZE, ORB, 1351, 0.0298088, 0.00480415, 513595792, 6.95296e-310
1, AKAZE, ORB, 1327, 0.0297876, 0.00466, 130, 0.00012765
2, AKAZE, ORB, 1311, 0.029697, 0.00470832, 129, 0.000131025
3, AKAZE, ORB, 1351, 0.0281696, 0.00464605, 128, 0.000120527
4, AKAZE, ORB, 1360, 0.029569, 0.00462343, 115, 0.00010544
5, AKAZE, ORB, 1347, 0.0325269, 0.00472936, 132, 0.000137193
6, AKAZE, ORB, 1363, 0.0274659, 0.00470416, 132, 0.000138631
7, AKAZE, ORB, 1331, 0.0278592, 0.00487789, 137, 0.00011852
8, AKAZE, ORB, 1358, 0.025978, 0.00463878, 137, 0.000143035
9, AKAZE, ORB, 1331, 0.0295856, 0.00466892, 146, 0.000129286

0, AKAZE, FREAK, 1351, 0.0284538, 0.0187922, 513595792, 6.95296e-310
1, AKAZE, FREAK, 1327, 0.0289693, 0.0175039, 126, 0.000141355
2, AKAZE, FREAK, 1311, 0.0265404, 0.0174865, 128, 0.000145556
3, AKAZE, FREAK, 1351, 0.029534, 0.0183474, 128, 0.000265394
4, AKAZE, FREAK, 1360, 0.0266321, 0.0183828, 121, 0.000134603
5, AKAZE, FREAK, 1347, 0.029687, 0.0184272, 123, 0.000132571
6, AKAZE, FREAK, 1363, 0.0272159, 0.018447, 132, 0.000150615
7, AKAZE, FREAK, 1331, 0.0271098, 0.0184969, 145, 0.000178706
8, AKAZE, FREAK, 1358, 0.0272772, 0.0174802, 148, 0.000164769
9, AKAZE, FREAK, 1331, 0.0269826, 0.0176562, 137, 0.000152405

0, AKAZE, AKAZE, 1351, 0.0305329, 0.0231659, 513595792, 6.95296e-310
1, AKAZE, AKAZE, 1327, 0.0283983, 0.0235509, 138, 0.00016189
2, AKAZE, AKAZE, 1311, 0.0267326, 0.0241752, 138, 0.000129485
3, AKAZE, AKAZE, 1351, 0.0273163, 0.0239693, 133, 0.000265788
4, AKAZE, AKAZE, 1360, 0.0287624, 0.0244258, 127, 0.000167118
5, AKAZE, AKAZE, 1347, 0.0276335, 0.02375, 129, 0.000134827
6, AKAZE, AKAZE, 1363, 0.0322275, 0.0245587, 146, 0.000132827
7, AKAZE, AKAZE, 1331, 0.0312908, 0.0229725, 147, 0.000209373
8, AKAZE, AKAZE, 1358, 0.0241325, 0.0198881, 151, 9.9689e-05
9, AKAZE, AKAZE, 1331, 0.0236894, 0.0194335, 150, 0.000107887

